rank,continent_name,country_code,country_name,growth_percent
10,Africa,RWA,Rwanda,8.73
11,Africa,GIN,Guinea,8.32
12,Africa,NGA,Nigeria,8.09
10,Asia,UZB,Uzbekistan,11.12
11,Asia,IRQ,Iraq,10.06
12,Asia,PHL,Philippines,9.73
10,Europe,MNE,Montenegro,-2.93
11,Europe,SWE,Sweden,-3.02
12,Europe,ISL,Iceland,-3.84
10,North America,HND,Honduras,2.71
10,North America,GTM,Guatemala,2.71
12,North America,ATG,Antigua and Barbuda,2.52
10,Oceania,FJI,Fiji,3.29
11,Oceania,TUV,Tuvalu,1.27
12,Oceania,KIR,Kiribati,0.04
10,South America,ARG,Argentina,5.67
11,South America,PRY,Paraguay,-3.62
12,South America,BRA,Brazil,-9.83
